game_id,Game Date,Home Days Since Last Game,Home Games Last 7 Days,Home Is Back-to-Back,Away Days Since Last Game,Away Games Last 7 Days,Away Is Back-to-Back,Away Team Recent 10 Win Rate,Home Team Recent 10 Win Rate,Home Team Recent 3 Months Win Rate,Away Team Recent 3 Months Win Rate,home_pts_avg_last10,home_reb_avg_last10,home_ast_avg_last10,home_plus_minus_avg_last10,away_pts_avg_last10,away_reb_avg_last10,away_ast_avg_last10,away_plus_minus_avg_last10,target,home_injury_count,away_injury_count
29900461,2000-01-07,2.0,1,False,2.0,2,False,0.6,1.0,0.8888888888888888,0.6875,103.0,51.5,22.4,12.3,100.8,40.7,23.8,-2.5,1.0,0,0
29900459,2000-01-07,2.0,1,False,8.0,0,False,0.5,0.5,0.5625,0.4285714285714285,98.0,43.8,18.3,-7.1,98.1,48.2,24.1,0.3,1.0,0,0
29900458,2000-01-07,2.0,2,False,8.0,0,False,0.4,0.5,0.4666666666666667,0.5,102.8,46.5,19.7,0.6,94.4,39.7,16.7,0.6,0.0,0,0
29900456,2000-01-07,8.0,0,False,2.0,2,False,0.8,0.9,0.5555555555555556,0.8666666666666667,100.0,41.4,22.3,5.2,91.7,40.5,19.7,-9.0,0.0,0,0
29900460,2000-01-07,3.0,1,False,3.0,1,False,0.6,0.8,0.8333333333333334,0.5,102.3,44.7,25.5,4.8,93.2,45.3,21.7,3.1,0.0,0,0
29900455,2000-01-07,4.0,1,False,1.0,2,True,0.6,0.6,0.6875,0.5625,95.8,40.8,20.2,-2.6,105.2,46.2,24.5,-1.0,1.0,0,0
29900457,2000-01-07,4.0,1,False,8.0,0,False,1.0,0.5,0.4,1.0,91.7,43.2,22.2,0.0,77.8,43.3,19.4,-12.6,0.0,0,0
29900466,2000-01-08,4.0,1,False,3.0,1,False,0.7,0.6,0.6666666666666666,0.7058823529411765,101.9,39.8,23.4,-0.5,94.0,41.9,22.9,1.4,1.0,0,0
29900473,2000-01-08,10.0,0,False,4.0,1,False,0.2,0.5,0.6666666666666666,0.2142857142857142,97.2,43.6,22.9,-2.1,102.2,50.8,22.0,10.0,0.0,0,1
29900470,2000-01-08,2.0,2,False,1.0,3,True,0.6,0.7,0.7222222222222222,0.7058823529411765,99.5,46.1,23.4,2.4,99.2,40.2,22.3,-4.2,1.0,0,0
29900472,2000-01-08,9.0,0,False,10.0,0,False,0.7,0.7,0.7692307692307693,0.6666666666666666,99.7,42.5,24.5,10.9,99.2,45.5,25.6,1.9,1.0,0,0
29900469,2000-01-08,3.0,1,False,6.0,1,False,0.4,0.7,0.8,0.4705882352941176,95.1,47.0,21.7,4.4,103.1,47.2,20.1,-1.1,1.0,0,0
29900467,2000-01-08,2.0,1,False,4.0,1,False,0.8,0.2,0.3571428571428571,0.8666666666666667,99.9,40.7,22.0,-6.0,99.7,43.4,19.4,-5.6,1.0,0,0
