Game ID,Game Date,Home Team Recent 10 Win Rate,Away Team Recent 10 Win Rate,Home Team Recent 3 Months Win Rate,Away Team Recent 3 Months Win Rate
29900500,2000-01-13,0.9,0.9,0.5263157894736842,0.8333333333333334
29900510,2000-01-14,0.3,0.9,0.26666666666666666,0.875
29900512,2000-01-14,0.7,0.3,0.7894736842105263,0.2631578947368421
29900509,2000-01-14,1.0,0.1,0.875,0.1875
29900513,2000-01-14,0.5,0.6,0.6470588235294118,0.5
29900507,2000-01-14,0.5,0.6,0.5789473684210527,0.5555555555555556
29900508,2000-01-14,0.7,0.7,0.7058823529411765,0.7368421052631579
29900511,2000-01-14,0.7,0.4,0.7,0.4117647058823529
29900505,2000-01-14,0.7,0.6,0.6111111111111112,0.5263157894736842
29900514,2000-01-14,0.2,0.8,0.29411764705882354,0.8
29900518,2000-01-15,0.4,0.4,0.4117647058823529,0.5
29900522,2000-01-15,0.5,0.2,0.6111111111111112,0.23529411764705882
29900519,2000-01-15,0.5,0.5,0.5882352941176471,0.5294117647058824
29900521,2000-01-15,0.7,0.5,0.6666666666666666,0.5
29900516,2000-01-15,0.9,0.9,0.55,0.875
29900525,2000-01-15,0.2,0.7,0.16666666666666666,0.5882352941176471
29900520,2000-01-15,0.3,0.8,0.25,0.7222222222222222
29900524,2000-01-15,0.9,0.9,0.8235294117647058,0.8421052631578947
29900515,2000-01-15,0.7,0.8,0.7333333333333333,0.7368421052631579
29900517,2000-01-15,0.5,0.5,0.4117647058823529,0.5882352941176471
29900523,2000-01-15,0.3,0.3,0.4,0.25
29900528,2000-01-16,0.2,0.4,0.2777777777777778,0.3888888888888889
29900527,2000-01-16,0.8,0.8,0.875,0.75
29900526,2000-01-16,0.7,0.7,0.75,0.7857142857142857
29900535,2000-01-17,0.3,0.7,0.4375,0.6842105263157895
29900533,2000-01-17,0.4,0.6,0.5555555555555556,0.5789473684210527
29900530,2000-01-17,0.7,0.6,0.631578947368421,0.7333333333333333
29900534,2000-01-17,0.5,0.4,0.5789473684210527,0.47368421052631576
29900529,2000-01-17,0.8,0.4,0.75,0.5555555555555556
29900532,2000-01-17,0.8,0.6,0.8666666666666667,0.5294117647058824
29900537,2000-01-17,1.0,0.4,0.9,0.3684210526315789
29900536,2000-01-17,0.5,0.6,0.4375,0.5238095238095238
29900538,2000-01-17,0.2,0.7,0.15789473684210525,0.55
29900531,2000-01-17,0.4,0.8,0.3888888888888889,0.8235294117647058
29900540,2000-01-18,0.5,0.3,0.35294117647058826,0.2857142857142857
29900541,2000-01-18,0.8,0.9,0.8823529411764706,0.85
29900542,2000-01-18,0.6,0.8,0.6666666666666666,0.7647058823529411
29900539,2000-01-18,0.6,0.9,0.7058823529411765,0.9411764705882353
29900549,2000-01-19,0.7,0.4,0.8235294117647058,0.3181818181818182
29900550,2000-01-19,0.9,0.4,0.8333333333333334,0.5333333333333333
29900551,2000-01-19,0.9,0.8,0.8571428571428571,0.7777777777777778
29900546,2000-01-19,0.4,0.6,0.3684210526315789,0.75
29900545,2000-01-19,0.8,0.8,0.65,0.8235294117647058
29900547,2000-01-19,1.0,0.6,0.8823529411764706,0.55
29900544,2000-01-19,0.8,0.7,0.7647058823529411,0.75
29900548,2000-01-19,0.2,0.9,0.23529411764705882,0.75
29900543,2000-01-19,0.7,0.7,0.6842105263157895,0.5555555555555556
29900557,2000-01-20,0.2,0.4,0.2631578947368421,0.47058823529411764
29900554,2000-01-20,0.7,0.4,0.6842105263157895,0.35
29900556,2000-01-20,0.8,0.7,0.8888888888888888,0.5714285714285714
29900553,2000-01-20,0.9,0.5,0.875,0.5
29900552,2000-01-20,0.8,0.4,0.5238095238095238,0.5789473684210527
29900555,2000-01-20,0.5,0.7,0.3888888888888889,0.8
29900561,2000-01-21,0.6,0.7,0.6666666666666666,0.6666666666666666
29900558,2000-01-21,0.7,0.3,0.7,0.3333333333333333
29900559,2000-01-21,0.4,0.5,0.35,0.5
29900560,2000-01-21,0.5,0.8,0.6666666666666666,0.8333333333333334
29900563,2000-01-21,0.2,0.8,0.2,0.7894736842105263
29900562,2000-01-21,0.5,0.3,0.4117647058823529,0.5
29900566,2000-01-22,0.9,0.7,0.8823529411764706,0.7777777777777778
29900565,2000-01-22,0.8,0.6,0.6666666666666666,0.5238095238095238
29900569,2000-01-22,0.6,0.4,0.7777777777777778,0.5
29900570,2000-01-22,0.7,0.8,0.7619047619047619,0.8
29900573,2000-01-22,0.2,0.7,0.25,0.5909090909090909
29900564,2000-01-22,0.8,0.6,0.5454545454545454,0.7142857142857143
29900572,2000-01-22,0.9,0.4,0.8947368421052632,0.4444444444444444
29900568,2000-01-22,0.2,0.5,0.2222222222222222,0.6
29900567,2000-01-22,0.3,0.7,0.5263157894736842,0.75
29900571,2000-01-22,0.9,0.4,0.8636363636363636,0.30434782608695654
29900574,2000-01-23,0.5,0.4,0.6,0.36363636363636365
29900578,2000-01-23,0.3,0.2,0.23809523809523808,0.47058823529411764
29900577,2000-01-23,0.5,0.7,0.3888888888888889,0.5652173913043478
29900575,2000-01-23,0.8,0.7,0.7222222222222222,0.7272727272727273
29900576,2000-01-23,0.5,0.4,0.42105263157894735,0.3684210526315789
29900581,2000-01-24,0.5,0.6,0.6363636363636364,0.7222222222222222
29900580,2000-01-24,0.3,0.6,0.2631578947368421,0.5454545454545454
29900582,2000-01-24,0.9,0.1,0.7894736842105263,0.2222222222222222
29900583,2000-01-24,0.8,0.7,0.8125,0.7647058823529411
29900579,2000-01-24,0.8,0.4,0.7777777777777778,0.391304347826087
29900590,2000-01-25,0.3,0.8,0.4117647058823529,0.8235294117647058
29900592,2000-01-25,0.6,0.9,0.7894736842105263,0.8571428571428571
29900587,2000-01-25,0.4,0.8,0.55,0.8888888888888888
29900591,2000-01-25,0.6,0.1,0.45,0.4444444444444444
29900588,2000-01-25,0.5,0.5,0.6,0.6190476190476191
29900586,2000-01-25,0.9,0.6,0.8888888888888888,0.5555555555555556
29900585,2000-01-25,0.5,0.7,0.6842105263157895,0.7894736842105263
29900589,2000-01-25,1.0,0.7,0.8888888888888888,0.625
29900595,2000-01-26,0.6,0.7,0.6190476190476191,0.7619047619047619
29900598,2000-01-26,0.6,0.7,0.6842105263157895,0.7777777777777778
